iter	Passed	Remaining
0	47	4682
1	88	4322
2	130	4212
3	175	4201
4	215	4091
5	258	4048
6	302	4020
7	345	3976
8	387	3916
9	432	3890
10	473	3834
11	513	3765
12	556	3727
13	598	3677
14	646	3662
15	690	3624
16	737	3599
17	781	3559
18	824	3515
19	865	3463
20	911	3427
21	955	3389
22	999	3346
23	1042	3299
24	1082	3247
25	1123	3196
26	1162	3144
27	1208	3107
28	1251	3063
29	1292	3016
30	1333	2968
31	1376	2924
32	1415	2874
33	1457	2829
34	1500	2786
35	1540	2739
36	1580	2690
37	1626	2653
38	1665	2604
39	1708	2562
40	1749	2517
41	1792	2474
42	1836	2434
43	1880	2393
44	1923	2351
45	1963	2305
46	2003	2259
47	2041	2211
48	2084	2169
49	2126	2126
50	2166	2081
51	2206	2036
52	2245	1991
53	2283	1944
54	2321	1899
55	2362	1856
56	2403	1813
57	2442	1768
58	2487	1728
59	2531	1687
60	2575	1646
61	2617	1604
62	2659	1562
63	2700	1519
64	2743	1477
65	2786	1435
66	2827	1392
67	2871	1351
68	2916	1310
69	2960	1268
70	3005	1227
71	3049	1185
72	3091	1143
73	3133	1100
74	3176	1058
75	3224	1018
76	3269	976
77	3310	933
78	3352	891
79	3396	849
80	3438	806
81	3483	764
82	3525	722
83	3571	680
84	3611	637
85	3650	594
86	3692	551
87	3738	509
88	3787	468
89	3834	426
90	3877	383
91	3921	341
92	3966	298
93	4007	255
94	4051	213
95	4094	170
96	4132	127
97	4175	85
98	4215	42
99	4255	0
