,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
0,16.0,2.0,0.53,0.18,-0.3,16.0,16.0,106.0,105.4,77.0,2.6
1,16.0,2.0,0.56,0.19,0.0,23.0,23.0,106.0,97.6,77.0,3.8
2,16.0,2.0,0.56,0.2,0.1,23.0,23.0,107.0,97.6,79.0,3.6
3,16.0,2.1,0.61,0.22,1.72,19.2,20.9,108.0,98.9,80.0,3.7
4,16.0,2.1,0.67,0.19,-0.4,19.0,18.0,105.0,110.6,80.0,3.6
5,15.0,2.1,0.71,0.21,-0.2,20.0,20.0,103.0,113.2,81.0,3.4
6,15.0,2.2,0.74,0.25,2.7,30.0,33.0,107.0,110.6,82.0,3.3
7,15.0,2.2,0.8,0.3,7.3,27.0,35.0,113.0,113.2,82.0,3.9
8,17.0,2.1,0.82,0.29,12.0,26.0,39.0,132.0,123.6,77.0,5.3
9,19.0,2.1,0.83,0.3,8.3,26.0,35.0,138.0,137.9,71.0,5.0
10,21.0,2.0,0.76,0.27,4.3,26.0,30.0,152.0,134.0,65.0,4.3
11,23.0,2.0,0.67,0.23,2.5,24.0,26.0,147.0,141.8,63.0,4.5
12,24.0,1.9,0.53,0.15,0.0,11.0,11.0,137.0,124.9,60.0,4.0
13,25.0,1.9,0.49,0.11,-0.2,11.0,11.0,119.0,108.0,61.0,5.1
14,25.0,1.8,0.41,0.14,-0.2,10.0,10.0,97.0,79.4,63.0,4.5
15,24.0,1.8,0.36,0.08,1.2,11.03,12.15,89.0,65.1,67.0,3.1
16,23.0,1.8,0.36,0.1,1.14,11.35,12.61,92.0,62.5,73.0,2.9
17,21.0,1.8,0.43,0.11,0.98,12.33,13.34,103.0,59.9,79.0,2.9
18,20.0,1.8,0.41,0.09,0.9,12.86,13.87,102.0,56.0,82.0,2.6
19,19.0,1.8,0.36,0.07,1.08,13.41,14.5,93.0,50.8,85.0,2.3
20,19.0,1.8,0.36,0.08,0.88,12.71,13.43,91.0,48.2,86.0,2.2
21,19.0,1.8,0.39,0.07,0.96,11.85,13.0,89.0,59.9,88.0,2.5
22,19.0,1.9,0.45,0.07,0.92,11.86,12.89,90.0,65.1,89.0,3.1
23,19.0,1.8,0.46,0.07,1.08,10.69,11.77,88.0,65.1,89.0,2.7
24,19.0,1.8,0.44,0.07,0.89,11.62,12.42,99.0,65.1,89.0,2.2
25,19.0,1.8,0.43,0.08,0.87,10.79,11.76,103.0,70.3,89.0,1.7
26,19.0,1.9,0.42,0.09,1.03,11.37,12.4,103.0,70.3,90.0,1.3
27,19.0,1.9,0.41,0.08,1.16,11.71,12.94,86.0,75.5,90.0,1.4
28,19.0,1.9,0.43,0.08,1.07,12.14,13.37,98.0,70.3,90.0,1.3
29,19.0,1.9,0.46,0.11,1.19,11.5,12.52,98.0,88.5,90.0,1.2
30,19.0,1.9,0.51,0.14,1.34,13.56,14.96,119.0,100.2,90.0,1.4
31,19.0,1.9,0.56,0.15,-0.3,13.0,12.0,117.0,108.0,89.0,1.4
32,19.0,1.9,0.57,0.2,1.8,14.0,16.0,122.0,111.9,87.0,1.5
33,20.0,1.9,0.55,0.14,4.3,14.0,18.0,117.0,110.6,83.0,1.5
34,22.0,1.9,0.56,0.15,3.2,14.0,18.0,112.0,110.6,78.0,1.9
35,22.0,1.9,0.52,0.13,2.3,14.0,17.0,105.0,101.5,78.0,2.0
36,22.0,1.9,0.51,0.14,0.5,14.0,14.0,98.0,89.8,80.0,3.4
37,22.0,1.9,0.53,0.11,1.1,17.0,18.0,89.0,75.5,79.0,4.0
38,22.0,1.9,0.54,0.15,1.3,19.0,20.0,85.0,83.3,79.0,2.8
39,22.0,1.9,0.61,0.25,0.7,23.0,24.0,90.0,87.2,85.0,2.8
40,21.0,1.9,0.55,0.15,0.2,19.0,19.0,88.0,80.7,91.0,2.3
41,20.0,1.9,0.59,0.18,-0.5,22.0,22.0,86.0,80.7,93.0,2.2
42,20.0,1.9,0.52,0.12,2.87,21.2,23.9,75.0,61.2,94.0,2.0
43,20.0,1.9,0.55,0.16,2.25,18.1,20.4,71.0,70.3,95.0,2.3
44,20.0,1.9,0.44,0.1,2.95,18.61,21.63,71.0,58.6,94.0,2.9
45,20.0,1.9,0.45,0.11,2.17,15.67,17.64,70.0,65.1,95.0,2.9
46,20.0,2.0,0.54,0.13,-0.5,19.0,18.0,72.0,61.2,95.0,2.4
47,20.0,2.0,0.52,0.12,-0.5,19.0,18.0,68.0,66.4,95.0,1.8
48,20.0,2.0,0.54,0.12,-0.3,22.0,22.0,73.0,65.1,96.0,2.4
49,19.0,2.0,0.48,0.12,-0.5,17.0,17.0,78.0,65.1,96.0,2.1
50,19.0,1.9,0.48,0.09,-0.5,17.0,16.0,87.0,56.0,96.0,2.2
51,19.0,2.0,0.49,0.11,1.76,14.78,16.54,87.0,57.3,96.0,2.3
52,19.0,2.0,0.52,0.14,1.51,15.29,16.61,87.0,57.3,96.0,1.8
53,19.0,2.0,0.53,0.14,1.66,15.36,17.24,85.0,62.5,96.0,1.6
54,19.0,2.0,0.52,0.13,-0.5,15.0,15.0,78.0,57.3,96.0,1.9
